2022-11-02 04:44:32,670 | INFO | Threshold of 15.00 provides Large bucket size: 19, Small Bucket size: 45, Extra Bucket size: 9

2022-11-02 04:44:32,682 | INFO | SVC with Linear Kernel Results:

2022-11-02 04:44:39,256 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:39,256 | INFO | -------------------------

2022-11-02 04:44:39,258 | INFO | Train MCC Score: 0.975.  StDev for Train MCC: 0.013.  Test MCC Score: 0.103.  StDev for Test MCC: 0.286.

2022-11-02 04:44:39,271 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.667, Validation MCC: 0.357, Fold: 1
2022-11-02 04:44:39,292 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.533, Validation MCC: 0.090, Fold: 2
2022-11-02 04:44:39,304 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.400, Validation MCC: -0.089, Fold: 3
2022-11-02 04:44:39,318 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.600, Validation MCC: 0.225, Fold: 4
2022-11-02 04:44:39,331 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.667, Validation MCC: 0.359, Fold: 5
2022-11-02 04:44:39,331 | INFO | AVG Training Accuracy: 0.990, AVG Training MCC: 0.981, AVG Validation Accuracy: 0.573, AVG Validation MCC: 0.188

2022-11-02 04:44:40,778 | INFO | RFE only results:

2022-11-02 04:44:42,037 | INFO | Best parameter set: {'C': 1, 'break_ties': True, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:42,037 | INFO | -------------------------

2022-11-02 04:44:42,038 | INFO | Train MCC Score: 0.950.  StDev for Train MCC: 0.015.  Test MCC Score: 0.802.  StDev for Test MCC: 0.147.

2022-11-02 04:44:42,044 | INFO | Training Accuracy: 0.966, Training MCC: 0.936, Validation Accuracy: 0.867, Validation MCC: 0.763, Fold: 1
2022-11-02 04:44:42,051 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-02 04:44:42,057 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.933, Validation MCC: 0.882, Fold: 3
2022-11-02 04:44:42,064 | INFO | Training Accuracy: 0.966, Training MCC: 0.936, Validation Accuracy: 0.867, Validation MCC: 0.763, Fold: 4
2022-11-02 04:44:42,070 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.667, Validation MCC: 0.318, Fold: 5
2022-11-02 04:44:42,070 | INFO | AVG Training Accuracy: 0.976, AVG Training MCC: 0.955, AVG Validation Accuracy: 0.840, AVG Validation MCC: 0.699

2022-11-02 04:44:42,075 | INFO | Results after PCA:
2022-11-02 04:44:42,075 | INFO | ------------------

2022-11-02 04:44:42,086 | INFO | Selecting 10 principal components making up 75% of the variance.

2022-11-02 04:44:43,230 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:43,230 | INFO | -------------------------

2022-11-02 04:44:43,231 | INFO | Train MCC Score: 0.856.  StDev for Train MCC: 0.023.  Test MCC Score: 0.723.  StDev for Test MCC: 0.145.

2022-11-02 04:44:43,237 | INFO | Training Accuracy: 0.879, Training MCC: 0.774, Validation Accuracy: 0.867, Validation MCC: 0.763, Fold: 1
2022-11-02 04:44:43,241 | INFO | Training Accuracy: 0.914, Training MCC: 0.837, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-02 04:44:43,246 | INFO | Training Accuracy: 0.914, Training MCC: 0.838, Validation Accuracy: 0.800, Validation MCC: 0.645, Fold: 3
2022-11-02 04:44:43,250 | INFO | Training Accuracy: 0.914, Training MCC: 0.843, Validation Accuracy: 0.933, Validation MCC: 0.881, Fold: 4
2022-11-02 04:44:43,254 | INFO | Training Accuracy: 0.948, Training MCC: 0.904, Validation Accuracy: 0.667, Validation MCC: 0.318, Fold: 5
2022-11-02 04:44:43,255 | INFO | AVG Training Accuracy: 0.914, AVG Training MCC: 0.839, AVG Validation Accuracy: 0.827, AVG Validation MCC: 0.675

2022-11-02 04:44:43,258 | INFO | Selecting 12 principal components making up 80% of the variance.

2022-11-02 04:44:44,427 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:44,437 | INFO | -------------------------

2022-11-02 04:44:44,438 | INFO | Train MCC Score: 0.862.  StDev for Train MCC: 0.030.  Test MCC Score: 0.720.  StDev for Test MCC: 0.150.

2022-11-02 04:44:44,443 | INFO | Training Accuracy: 0.897, Training MCC: 0.813, Validation Accuracy: 0.867, Validation MCC: 0.763, Fold: 1
2022-11-02 04:44:44,447 | INFO | Training Accuracy: 0.931, Training MCC: 0.872, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-02 04:44:44,452 | INFO | Training Accuracy: 0.914, Training MCC: 0.838, Validation Accuracy: 0.800, Validation MCC: 0.645, Fold: 3
2022-11-02 04:44:44,456 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.933, Validation MCC: 0.881, Fold: 4
2022-11-02 04:44:44,461 | INFO | Training Accuracy: 0.931, Training MCC: 0.872, Validation Accuracy: 0.667, Validation MCC: 0.318, Fold: 5
2022-11-02 04:44:44,461 | INFO | AVG Training Accuracy: 0.921, AVG Training MCC: 0.854, AVG Validation Accuracy: 0.827, AVG Validation MCC: 0.675

2022-11-02 04:44:44,465 | INFO | Selecting 15 principal components making up 85% of the variance.

2022-11-02 04:44:45,616 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:45,617 | INFO | -------------------------

2022-11-02 04:44:45,617 | INFO | Train MCC Score: 0.875.  StDev for Train MCC: 0.032.  Test MCC Score: 0.777.  StDev for Test MCC: 0.144.

2022-11-02 04:44:45,622 | INFO | Training Accuracy: 0.914, Training MCC: 0.843, Validation Accuracy: 0.867, Validation MCC: 0.763, Fold: 1
2022-11-02 04:44:45,627 | INFO | Training Accuracy: 0.948, Training MCC: 0.904, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-02 04:44:45,631 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 3
2022-11-02 04:44:45,636 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.933, Validation MCC: 0.881, Fold: 4
2022-11-02 04:44:45,640 | INFO | Training Accuracy: 0.948, Training MCC: 0.905, Validation Accuracy: 0.733, Validation MCC: 0.484, Fold: 5
2022-11-02 04:44:45,640 | INFO | AVG Training Accuracy: 0.934, AVG Training MCC: 0.880, AVG Validation Accuracy: 0.853, AVG Validation MCC: 0.734

2022-11-02 04:44:45,644 | INFO | Selecting 18 principal components making up 90% of the variance.

2022-11-02 04:44:46,823 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-11-02 04:44:46,823 | INFO | -------------------------

2022-11-02 04:44:46,824 | INFO | Train MCC Score: 0.887.  StDev for Train MCC: 0.024.  Test MCC Score: 0.753.  StDev for Test MCC: 0.135.

2022-11-02 04:44:46,829 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.867, Validation MCC: 0.766, Fold: 1
2022-11-02 04:44:46,834 | INFO | Training Accuracy: 0.948, Training MCC: 0.904, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-02 04:44:46,838 | INFO | Training Accuracy: 0.948, Training MCC: 0.905, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 3
2022-11-02 04:44:46,843 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.933, Validation MCC: 0.881, Fold: 4
2022-11-02 04:44:46,847 | INFO | Training Accuracy: 0.966, Training MCC: 0.936, Validation Accuracy: 0.733, Validation MCC: 0.484, Fold: 5
2022-11-02 04:44:46,847 | INFO | AVG Training Accuracy: 0.945, AVG Training MCC: 0.899, AVG Validation Accuracy: 0.853, AVG Validation MCC: 0.734

2022-11-02 04:44:46,851 | INFO | Selecting 23 principal components making up 95% of the variance.

2022-11-02 04:44:48,008 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}
2022-11-02 04:44:48,008 | INFO | -------------------------

2022-11-02 04:44:48,009 | INFO | Train MCC Score: 0.950.  StDev for Train MCC: 0.015.  Test MCC Score: 0.753.  StDev for Test MCC: 0.135.

2022-11-02 04:44:48,014 | INFO | Training Accuracy: 0.966, Training MCC: 0.936, Validation Accuracy: 0.867, Validation MCC: 0.766, Fold: 1
2022-11-02 04:44:48,019 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
